Player,eff_s1,eff_s2,eff_s3,eff_delta,trajectory_type,position,team_s3,age_s3,wage_s1,wage_s3
Ander Herrera,0.526213833121929,0.3740332933388544,0.2898935508401159,-0.23632028228181312,Other,Midfielders,Athletic Club,34,3000000,3000000
Andoni Gorosabel,-0.3090467304669921,0.5479909300845307,0.0667762032360812,0.3758229337030733,Other,Defenders,Athletic Club,27,900000,1560000
Andre-Frank Zambo Anguissa,0.1093214664993276,0.0016814961124858,-0.20579681850454,-0.3151182850038676,Other,Midfielders,Napoli,28,3460000,3460000
Andrea Cambiaso,1.1064604781351246,-0.4302468857069002,0.2031655599785224,-0.9032949181566022,Rising Star,Midfielders,Juventus,24,1850000,4440000
Andrea Carboni,0.7595415009884814,0.2234487184117899,-0.0418609329408994,-0.8014024339293808,Rising Star,Defenders,Monza,23,930000,930000
Andrea Colpani,-1.1674184984989662,0.0065764476938721,0.0085905191482442,1.1760090176472104,Wage Trap,Midfielders,Fiorentina,25,170000,2220000
Andrea Pinamonti,1.3378552724454504,0.6400192849794717,0.6438141049564976,-0.6940411674889528,Rising Star,Forwards,Genoa,25,4440000,4440000
Andreas Christensen,0.2579321633400884,0.050534396504398,0.0641115219056587,-0.19382064143442967,Other,Defenders,Barcelona,28,9000000,9000000
Andreas Pereira,0.0027058131746233,-0.175358913460391,-0.1706598726637942,-0.1733656858384175,Stable / Fair,Midfielders,Fulham,28,3022165,3080342
Andrej Kramarić,0.0843541011390147,0.1862229695600348,0.1884623807502343,0.1041082796112196,Stable / Fair,Midfielders,Hoffenheim,33,2900000,4000000
Andrew Robertson,-0.0730335985452708,-0.0963299073229837,0.1544137074147897,0.22744730596006052,Stable / Fair,Defenders,Liverpool,30,6044330,9857096
Andriy Lunin,0.8447634424495671,0.1034600375844476,0.9019889011516148,0.05722545870204765,Other,Goalkeepers,Real Madrid,25,2810000,4500000
András Schäfer,0.4506771093589812,0.3460616903175442,0.1648952755373649,-0.28578183382161626,Other,Midfielders,Union Berlin,25,900000,1200000
André Onana,0.3600655595530995,-0.3521664454287254,-0.1731192737514586,-0.5331848333045581,Rising Star,Goalkeepers,Manchester Utd,28,3850000,7392822
Angel Gomes,0.0795922348516846,-0.2287628489855215,-0.1227194682357151,-0.2023117030873997,Other,Midfielders,Lille,23,710000,710000
Ansgar Knauff,-1.149318717141986,-0.4584539326700216,-0.6830630733103682,0.4662556438316179,Wage Trap,Midfielders,Eintracht Frankfurt,22,160000,540000
Ante Budimir,-0.6587382562666289,-0.1568564942316346,-0.3427591920551283,0.31597906421150057,Other,Forwards,Osasuna,33,630000,1350000
Anthony Caci,0.4406688277568218,0.1265194629409975,0.2406688413316331,-0.1999999864251887,Other,Midfielders,Mainz 05,27,1680000,1680000
Anthony Elanga,-2.109372432225909,-0.3224367868950892,-0.6205847735226833,1.4887876587032256,Wage Trap,Midfielders,Nottingham Forest,22,302217,1540171
Anthony Jung,0.5859629169719902,-0.1100983589114523,-0.0592036081508879,-0.6451665251228781,Rising Star,Defenders,Werder Bremen,32,2260000,1150000
Anthony Losilla,0.1369475724495288,-0.4507497987319144,0.4300790397733411,0.29313146732381234,Other,Midfielders,Bochum,38,920000,940000
Antoine Griezmann,0.4155418295820592,0.5125486744774168,0.5962172353778215,0.18067540579576225,Persistent Overvalued,Forwards,Atlético Madrid,33,12500000,12500000
Antoine Semenyo,0.1584228297934267,-0.5903860312906151,-0.0155600258389938,-0.1739828556324205,Other,Midfielders,Bournemouth,24,1208866,3080342
Antonee Robinson,-0.5058013180022201,-0.0423735960183719,-0.2032470256569887,0.30255429234523135,Other,Midfielders,Fulham,26,1511083,3080342
Antonino Gallo,0.5851265859516896,0.3274923680014918,0.0964616191634437,-0.48866496678824595,Rising Star,Defenders,Lecce,24,960000,960000
Antonio Blanco,0.4747318377711504,-0.1482688395773763,-0.3407799402569225,-0.815511778028073,Rising Star,Midfielders,Alavés,24,360000,500000
Antonio Raillo,-0.2160039967854796,-0.2158837246043354,-0.3973284918153066,-0.181324495029827,Other,Defenders,Mallorca,32,780000,880000
Antonio Rüdiger,0.0746969220308955,-0.0985255301901304,-0.1050552050640654,-0.1797521270949609,Stable / Fair,Defenders,Real Madrid,31,14580000,14580000
Antonio Sanabria,0.0500708240425176,0.1162107487191015,0.2683420515840407,0.21827122754152306,Other,Forwards,Torino,28,2960000,2960000
Antonio Sánchez,-0.2894554938916709,-0.6059718482574468,0.0496309012702163,0.3390863951618872,Other,Midfielders,Mallorca,27,390000,840000
Ardian Ismajli,0.9786486896544736,0.5497574640022282,-0.0381868805718852,-1.0168355702263587,Rising Star,Defenders,Empoli,27,1670000,900000
Aridane Hernández,-0.0869419624335527,-0.0752228380192949,0.0250263219779842,0.1119682844115369,Stable / Fair,Defenders,Rayo Vallecano,35,610000,460000
Aritz Elustondo,0.1267346255013208,0.3004694272704178,0.1276458983246726,0.0009112728233517942,Other,Defenders,Real Sociedad,30,1850000,2200000
Armando Izzo,0.6628899499565915,0.6752331536572811,0.5468017653618169,-0.11608818459477455,Persistent Overvalued,Defenders,Monza,32,3150000,3150000
Arnau Martinez,0.5091281200767064,0.4009386519602032,1.0128393866783032,0.5037112666015968,Wage Trap,Midfielders,Girona,21,400000,1240000
Arne Maier,0.446602428448994,0.2652318611580515,0.367304437713571,-0.07929799073542299,Other,Midfielders,Augsburg,25,1000000,1230000
Arthur Theate,1.6040009879985817,1.6561374814894538,1.1014442878290431,-0.5025567001695386,Rising Star,Defenders,Eintracht Frankfurt,24,2910000,3640000
