Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,efficiency_score,panel_efficiency,eff_difference
Santi Comesaña,Rayo Vallecano,La Liga,2022-2023,Midfielders,25,520000,0.1503959427615591,0.4965058134833366,0.3461098707217775
Santi Comesaña,Villarreal,La Liga,2023-2024,Midfielders,26,1250000,-0.4457323849866341,-0.0996225142648565,0.3461098707217775
Santi Comesaña,Villarreal,La Liga,2024-2025,Midfielders,27,1250000,-0.7429931699402577,-0.3968832992184801,0.3461098707217775
Eray Cömert,Valladolid,La Liga,2024-2025,Midfielders,26,1040000,0.267377942446787,0.0095253582912313,-0.2578525841555557
Kingsley Coman,Bayern Munich,Bundesliga,2022-2023,Midfielders,26,17000000,0.208836667028855,0.104379976926502,-0.1044566901023529
Kingsley Coman,Bayern Munich,Bundesliga,2023-2024,Midfielders,27,17000000,0.1625751619617617,0.0581184718594087,-0.1044566901023529
Kingsley Coman,Bayern Munich,Bundesliga,2024-2025,Midfielders,28,17000000,-0.0580417586835579,-0.1624984487859108,-0.1044566901023529
Andrea Colpani,Monza,Serie A,2022-2023,Midfielders,23,170000,-1.1674184984989662,-0.7833346546133495,0.3840838438856166
Andrea Colpani,Monza,Serie A,2023-2024,Midfielders,24,930000,0.0065764476938721,0.3906602915794887,0.3840838438856166
Andrea Colpani,Fiorentina,Serie A,2024-2025,Midfielders,25,2220000,0.0085905191482442,0.3926743630338608,0.3840838438856166
Nnamdi Collins,Eintracht Frankfurt,Bundesliga,2024-2025,Midfielders,20,660000,0.164059681740424,0.1724012779633294,0.0083415962229054
Séamus Coleman,Everton,Premier League,2022-2023,Midfielders,33,3324382,-0.297729394831066,-0.0614787047115523,0.2362506901195136
Marcus Coco,Nantes,Ligue 1,2022-2023,Midfielders,26,480000,-0.2919664844085332,-0.1047008836857736,0.1872656007227595
Marcus Coco,Nantes,Ligue 1,2023-2024,Midfielders,27,720000,-0.3277210715367147,-0.1404554708139552,0.1872656007227595
Nathaniel Clyne,Crystal Palace,Premier League,2024-2025,Midfielders,33,3080342,-0.3104617288938556,-0.2359042486367943,0.0745574802570612
Carlos Clerc,Elche,La Liga,2022-2023,Midfielders,30,1080000,0.6447719367088549,-0.2315385186202831,-0.8763104553291381
Jonathan Clauss,Marseille,Ligue 1,2022-2023,Midfielders,29,3300000,-0.0965930924319202,-0.3354688897373083,-0.2388757973053881
Jonathan Clauss,Marseille,Ligue 1,2023-2024,Midfielders,30,3300000,-0.2284132261959097,-0.4672890235012978,-0.2388757973053881
Jonathan Clauss,Nice,Ligue 1,2024-2025,Midfielders,31,3280000,0.66219495905775,0.4233191617523619,-0.2388757973053881
Alexis Claude-Maurice,Nice,Ligue 1,2023-2024,Midfielders,25,1200000,0.4191793258343494,0.3014740298857745,-0.1177052959485748
Alexis Claude-Maurice,Augsburg,Bundesliga,2024-2025,Midfielders,26,1140000,-0.1837687339371996,-0.3014740298857745,-0.1177052959485749
Patrick Ciurria,Monza,Serie A,2022-2023,Midfielders,27,1260000,0.1030038557931405,-0.1848652508808506,-0.2878691066739911
Patrick Ciurria,Monza,Serie A,2023-2024,Midfielders,28,1480000,0.3881478899186312,0.10027878324464,-0.2878691066739911
Patrick Ciurria,Monza,Serie A,2024-2025,Midfielders,29,1480000,0.3724555743102016,0.0845864676362104,-0.2878691066739911
Pathé Ciss,Rayo Vallecano,La Liga,2022-2023,Midfielders,28,340000,-0.3608447321363517,0.2739660141737676,0.6348107463101194
Pathé Ciss,Rayo Vallecano,La Liga,2023-2024,Midfielders,29,340000,-0.7387677286191394,-0.10395698230902,0.6348107463101194
Pathé Ciss,Rayo Vallecano,La Liga,2024-2025,Midfielders,30,340000,-0.8424258225252519,-0.2076150762151325,0.6348107463101194
Kassoum Ouattara,Monaco,Ligue 1,2024-2025,Midfielders,19,400000,-0.1372283531271936,0.2117865755149344,0.349014928642128
Dango Ouattara,Bournemouth,Premier League,2023-2024,Midfielders,21,2154309,0.6300013034502498,0.1808894411050214,-0.4491118623452284
Dango Ouattara,Bournemouth,Premier League,2024-2025,Midfielders,22,2156240,0.141175179389581,-0.3079366829556473,-0.4491118623452284
Patrick Osterhage,Bochum,Bundesliga,2022-2023,Midfielders,22,520000,0.6908561661051564,0.237343741735333,-0.4535124243698233
Patrick Osterhage,Bochum,Bundesliga,2023-2024,Midfielders,23,520000,0.1706968420288763,-0.282815582340947,-0.4535124243698233
Patrick Osterhage,Freiburg,Bundesliga,2024-2025,Midfielders,24,840000,0.4989842649754372,0.0454718406056138,-0.4535124243698233
Jordi Osei-Tutu,Bochum,Bundesliga,2022-2023,Midfielders,23,390000,0.1013123843446166,0.0221877659893286,-0.079124618355288
Riccardo Orsolini,Bologna,Serie A,2022-2023,Midfielders,25,2040000,0.2489675267021311,-0.17104708309757,-0.4200146097997011
Riccardo Orsolini,Bologna,Serie A,2023-2024,Midfielders,26,3700000,0.6230460718294335,0.2030314620297323,-0.4200146097997011
Riccardo Orsolini,Bologna,Serie A,2024-2025,Midfielders,27,3700000,0.3880302308675389,-0.0319843789321622,-0.4200146097997011
Aimar Oroz,Osasuna,La Liga,2022-2023,Midfielders,20,360000,0.2560843879700165,-0.0028299857687013,-0.2589143737387178
Aimar Oroz,Osasuna,La Liga,2023-2024,Midfielders,21,360000,-0.0002424175750128,-0.2591567913137306,-0.2589143737387178
Aimar Oroz,Osasuna,La Liga,2024-2025,Midfielders,22,950000,0.5209011508211496,0.2619867770824318,-0.2589143737387178
Divock Origi,Nottingham Forest,Premier League,2023-2024,Midfielders,28,7386203,0.7229284728935674,0.2637457663253003,-0.4591827065682671
Christopher Operi,Le Havre,Ligue 1,2023-2024,Midfielders,26,540000,-0.1004356874486092,-0.0893434556767007,0.0110922317719084
Christopher Operi,Le Havre,Ligue 1,2024-2025,Midfielders,27,540000,-0.0759538453592991,-0.0648616135873906,0.0110922317719084
Frank Onyeka,Brentford,Premier League,2022-2023,Midfielders,24,1511083,0.0935434762602049,-0.0848808885718313,-0.1784243648320362
Frank Onyeka,Brentford,Premier League,2023-2024,Midfielders,25,2462068,0.2633052534038675,0.0848808885718312,-0.1784243648320362
Karim Onisiwo,Mainz 05,Bundesliga,2024-2025,Midfielders,32,1700000,0.4818019228530144,0.5816309065666214,0.099828983713607
Jean Onana,Lens,Ligue 1,2022-2023,Midfielders,22,420000,0.4503582872913636,-0.0639970250898516,-0.5143553123812152
Amadou Onana,Everton,Premier League,2022-2023,Midfielders,20,6044330,1.4189861186167576,0.2132988431622677,-1.2056872754544898
Amadou Onana,Everton,Premier League,2023-2024,Midfielders,21,6155169,1.1710352031865838,-0.034652072267906,-1.2056872754544898
Amadou Onana,Aston Villa,Premier League,2024-2025,Midfielders,22,8624959,1.0270405045601283,-0.1786467708943615,-1.2056872754544898
Ado Onaiwu,Auxerre,Ligue 1,2024-2025,Midfielders,28,840000,0.2449300681436632,-0.1274089568235404,-0.3723390249672036
Becir Omeragic,Montpellier,Ligue 1,2023-2024,Midfielders,21,550000,0.6797838871579867,-0.082837732847544,-0.7626216200055307
Dani Olmo,RB Leipzig,Bundesliga,2022-2023,Midfielders,24,4200000,0.1347481530137546,-0.0776829536283466,-0.2124311066421012
Dani Olmo,RB Leipzig,Bundesliga,2023-2024,Midfielders,25,9430000,0.7720282246118675,0.5595971179697662,-0.2124311066421013
Dani Olmo,Barcelona,La Liga,2024-2025,Midfielders,26,9380000,-0.2694830576993183,-0.4819141643414195,-0.2124311066421012
Michael Olise,Crystal Palace,Premier League,2022-2023,Midfielders,20,2719949,0.4748149847630269,0.0008873558349483,-0.4739276289280785
Michael Olise,Crystal Palace,Premier League,2023-2024,Midfielders,21,6155169,0.8459992341312503,0.3720716052031718,-0.4739276289280785
Michael Olise,Bayern Munich,Bundesliga,2024-2025,Midfielders,22,13500000,0.1009686678899584,-0.3729589610381201,-0.4739276289280785
Mathias Olesen,Köln,Bundesliga,2022-2023,Midfielders,21,30000,-2.0127351781948004,-0.8768654219474579,1.1358697562473423
Mathias Olesen,Köln,Bundesliga,2023-2024,Midfielders,22,240000,-0.2590043342998847,0.8768654219474579,1.1358697562473423
Finn Ole Becker,Hoffenheim,Bundesliga,2022-2023,Midfielders,22,360000,-0.553300163091853,0.2674708735260415,0.8207710366178945
Finn Ole Becker,Hoffenheim,Bundesliga,2023-2024,Midfielders,23,360000,-0.8126826563722034,0.0080883802456911,0.8207710366178945
Finn Ole Becker,Hoffenheim,Bundesliga,2024-2025,Midfielders,24,360000,-1.096330290389627,-0.2755592537717325,0.8207710366178945
Olasagasti,Real Sociedad,La Liga,2023-2024,Midfielders,22,300000,-0.9810293578663368,0.1893583920075113,1.1703877498738482
Olasagasti,Real Sociedad,La Liga,2024-2025,Midfielders,23,300000,-1.3597461418813594,-0.1893583920075112,1.1703877498738482
Chiedozie Ogbene,Luton Town,Premier League,2023-2024,Midfielders,26,923275,-0.3519460495965578,-0.4626506201353351,-0.1107045705387773
Chiedozie Ogbene,Ipswich Town,Premier League,2024-2025,Midfielders,27,1540171,0.5733551906741123,0.4626506201353351,-0.1107045705387772
Wilson Odobert,Troyes,Ligue 1,2022-2023,Midfielders,17,40000,-0.8615385212807567,-0.4933422859181728,0.3681962353625838
Wilson Odobert,Burnley,Premier League,2023-2024,Midfielders,18,615517,0.0354893826673912,0.403685618029975,0.3681962353625838
Lucas Ocampos,Sevilla,La Liga,2022-2023,Midfielders,28,1600000,-0.4728613831300183,0.1920513899796509,0.6649127731096692
Lucas Ocampos,Sevilla,La Liga,2023-2024,Midfielders,29,1700000,-0.8955181269306713,-0.2306053538210021,0.6649127731096692
Lucas Ocampos,Sevilla,La Liga,2024-2025,Midfielders,30,1700000,-0.6263588092683179,0.0385539638413513,0.6649127731096692
Brian Ocampo,Cádiz,La Liga,2022-2023,Midfielders,23,540000,0.4076601391064898,0.1524217226190689,-0.2552384164874208
Brian Ocampo,Cádiz,La Liga,2023-2024,Midfielders,24,540000,0.1028166938683519,-0.1524217226190689,-0.2552384164874208
Pedro Obiang,Sassuolo,Serie A,2022-2023,Midfielders,30,1090000,0.0403201274288687,0.0588450612108504,0.0185249337819817
Pedro Obiang,Sassuolo,Serie A,2023-2024,Midfielders,31,1090000,-0.0773699949928321,-0.0588450612108504,0.0185249337819817
Adam Obert,Cagliari,Serie A,2024-2025,Midfielders,21,740000,0.5979912742484697,-0.0531196376918939,-0.6511109119403636
Antonio Nusa,RB Leipzig,Bundesliga,2024-2025,Midfielders,19,1500000,0.0429243495490005,0.0399543845202598,-0.0029699650287406
Matheus Nunes,Wolves,Premier League,2022-2023,Midfielders,23,5137681,0.9348931696305538,0.5980017424641162,-0.3368914271664376
Matheus Nunes,Manchester City,Premier League,2024-2025,Midfielders,25,8008890,0.07286905078805,-0.2640223763783875,-0.3368914271664375
Ernest Nuamah,Lyon,Ligue 1,2024-2025,Midfielders,20,2720000,0.8383793229723207,0.571487887914305,-0.2668914350580156
Christian Nørgaard,Brentford,Premier League,2022-2023,Midfielders,28,2115516,-0.0456217932389826,0.2285419189257993,0.2741637121647819
Christian Nørgaard,Brentford,Premier League,2023-2024,Midfielders,29,2154309,-0.2899497267591169,-0.0157860145943349,0.2741637121647819
Christian Nørgaard,Brentford,Premier League,2024-2025,Midfielders,30,2156240,-0.4869196164962464,-0.2127559043314644,0.2741637121647819
Hugo Novoa,RB Leipzig,Bundesliga,2022-2023,Midfielders,19,270000,-1.2132756399218536,-1.0621481424815968,0.1511274974402567
Hugo Novoa,Alavés,La Liga,2024-2025,Midfielders,21,350000,0.2222250259967513,0.3733525234370081,0.1511274974402567
Brooke Norton-Cuffy,Genoa,Serie A,2024-2025,Midfielders,20,930000,0.7982367664817218,-0.1440019517380282,-0.94223871821975
Arnaud Nordin,Montpellier,Ligue 1,2022-2023,Midfielders,24,750000,0.306342536412254,0.071157428242822,-0.235185108169432
Arnaud Nordin,Montpellier,Ligue 1,2023-2024,Midfielders,25,750000,0.16402767992661,-0.071157428242822,-0.235185108169432
Felix Nmecha,Wolfsburg,Bundesliga,2022-2023,Midfielders,21,110000,-2.387548027487496,-2.0506766669053937,0.3368713605821023
Felix Nmecha,Dortmund,Bundesliga,2023-2024,Midfielders,22,6000000,0.7915599429320714,1.1284313035141735,0.3368713605821021
Felix Nmecha,Dortmund,Bundesliga,2024-2025,Midfielders,23,6000000,0.5853740028091181,0.9222453633912202,0.3368713605821021
Christopher Nkunku,Chelsea,Premier League,2023-2024,Midfielders,25,12002579,0.14449370903165,-0.2203963445035981,-0.3648900535352481
Christopher Nkunku,Chelsea,Premier League,2024-2025,Midfielders,26,12013336,0.0083165770776467,-0.3565734764576014,-0.3648900535352481
Niels Nkounkou,Eintracht Frankfurt,Bundesliga,2023-2024,Midfielders,22,700000,-0.1313642617264108,-0.0501461749675305,0.0812180867588803
Niels Nkounkou,Eintracht Frankfurt,Bundesliga,2024-2025,Midfielders,23,700000,-0.1348574270917435,-0.0536393403328632,0.0812180867588803
Saúl Ñíguez,Atlético Madrid,La Liga,2022-2023,Midfielders,27,12000000,1.3307662418240085,0.2910624511175617,-1.0397037907064468
Saúl Ñíguez,Atlético Madrid,La Liga,2023-2024,Midfielders,28,12000000,1.1241910177729757,0.0844872270665288,-1.0397037907064468
Saúl Ñíguez,Sevilla,La Liga,2024-2025,Midfielders,29,5000000,0.4657694887134465,-0.5739343019930003,-1.0397037907064468
Hans Nicolussi Caviglia,Salernitana,Serie A,2022-2023,Midfielders,22,390000,0.0825054363176391,1.016652268677232,0.9341468323595932
Hans Nicolussi Caviglia,Juventus,Serie A,2023-2024,Midfielders,23,370000,-1.903937513207376,-0.969790680847783,0.934146832359593
Hans Nicolussi Caviglia,Venezia,Serie A,2024-2025,Midfielders,24,370000,-0.981008420189042,-0.046861587829449,0.934146832359593
Cyril Ngonge,Hellas Verona,Serie A,2022-2023,Midfielders,22,770000,0.5560759931453276,0.4332121409487346,-0.122863852196593
João Neves,Paris Saint-Germain,Ligue 1,2024-2025,Midfielders,19,9090000,1.1131883881968907,-0.0768823037097812,-1.190070691906672
Florian Neuhaus,Gladbach,Bundesliga,2022-2023,Midfielders,25,1600000,0.0001855578399858,-0.3802099865430015,-0.3803955443829873
Florian Neuhaus,Gladbach,Bundesliga,2023-2024,Midfielders,26,4000000,0.5402403467702754,0.1598448023872881,-0.3803955443829873
Florian Neuhaus,Gladbach,Bundesliga,2024-2025,Midfielders,27,4000000,0.6007607285387007,0.2203651841557133,-0.3803955443829873
Luca Netz,Gladbach,Bundesliga,2022-2023,Midfielders,19,2700000,1.8278315469384605,0.5144656445034663,-1.3133659024349942
Luca Netz,Gladbach,Bundesliga,2023-2024,Midfielders,20,2400000,1.0612439661288349,-0.2521219363061593,-1.3133659024349942
Pedro Neto,Wolves,Premier League,2022-2023,Midfielders,22,3022165,0.7649070569831,0.4759363211123937,-0.2889707358707062
Pedro Neto,Wolves,Premier League,2023-2024,Midfielders,23,3077584,0.216633415985612,-0.0723373198850942,-0.2889707358707062
Pedro Neto,Chelsea,Premier League,2024-2025,Midfielders,24,9857096,-0.1146282653565933,-0.4035990012272996,-0.2889707358707062
Loïc Nego,Le Havre,Ligue 1,2023-2024,Midfielders,32,400000,-0.5756947038255795,-0.0091583577659526,0.5665363460596269
Loïc Nego,Le Havre,Ligue 1,2024-2025,Midfielders,33,400000,-0.7444531875619163,-0.1779168415022893,0.5665363460596269
Joseph Nduquidi,Metz,Ligue 1,2023-2024,Midfielders,18,120000,0.0030001999324618,-0.0585547965418671,-0.0615549964743288
Dan Ndoye,Bologna,Serie A,2023-2024,Midfielders,22,1030000,0.0529675809531919,0.1896109144002693,0.1366433334470774
Dan Ndoye,Bologna,Serie A,2024-2025,Midfielders,23,1030000,-0.3262542478473467,-0.1896109144002692,0.1366433334470774
Tanguy Ndombele,Napoli,Serie A,2022-2023,Midfielders,25,3210000,0.499947282312009,-0.3347207887565773,-0.8346680710685863
Tanguy Ndombele,Nice,Ligue 1,2024-2025,Midfielders,27,3640000,1.1693888598251636,0.3347207887565773,-0.8346680710685863
Wilfred Ndidi,Leicester City,Premier League,2022-2023,Midfielders,25,4533248,0.6423643456949932,0.1764400498750902,-0.465924295819903
Wilfred Ndidi,Leicester City,Premier League,2024-2025,Midfielders,27,4620514,0.0897532834421479,-0.3761710123777551,-0.465924295819903
Rassoul Ndiaye,Le Havre,Ligue 1,2023-2024,Midfielders,21,330000,0.657566954070747,0.2193305840809865,-0.4382363699897604
Rassoul Ndiaye,Le Havre,Ligue 1,2024-2025,Midfielders,22,330000,0.2189057859087739,-0.2193305840809865,-0.4382363699897604
Iliman Ndiaye,Everton,Premier League,2024-2025,Midfielders,24,2772308,-0.3499074854594273,-0.094749388375666,0.2551580970837612
Papa Ndiaga Yade,Troyes,Ligue 1,2022-2023,Midfielders,22,270000,0.1614191218425684,-0.0074600626488914,-0.1688791844914598
Youssouf Ndayishimiye,Nice,Ligue 1,2023-2024,Midfielders,24,940000,0.196030984967086,0.0692703353600988,-0.1267606496069871
Michel Ndary Adopo,Torino,Serie A,2022-2023,Midfielders,22,110000,-1.7421392212537707,-0.7632984179353026,0.978840803318468
Michel Ndary Adopo,Atalanta,Serie A,2023-2024,Midfielders,23,650000,-0.335429682410167,0.6434111209083011,0.978840803318468
Michel Ndary Adopo,Cagliari,Serie A,2024-2025,Midfielders,24,650000,-0.2796531858771605,0.6991876174413076,0.978840803318468
Jesús Navas,Sevilla,La Liga,2022-2023,Midfielders,36,4400000,0.4383229060162978,-0.0236327724577699,-0.4619556784740677
Jesús Navas,Sevilla,La Liga,2023-2024,Midfielders,37,4400000,0.4513590406610319,-0.0105966378130358,-0.4619556784740677
Jesús Navas,Sevilla,La Liga,2024-2025,Midfielders,38,3130000,0.3781472266994186,-0.0838084517746491,-0.4619556784740677
Roberto Navarro,Real Sociedad,La Liga,2022-2023,Midfielders,20,420000,-0.3591779462714424,-0.4703181598336377,-0.1111402135621952
Roberto Navarro,Mallorca,La Liga,2024-2025,Midfielders,22,720000,0.581458373395833,0.4703181598336377,-0.1111402135621952
Nikolas Nartey,Stuttgart,Bundesliga,2022-2023,Midfielders,22,620000,0.5017638793288484,0.0963789726492141,-0.4053849066796342
Nahitan Nández,Cagliari,Serie A,2023-2024,Midfielders,27,2050000,0.5513696258386016,-0.0485490784952302,-0.5999187043338319
Keito Nakamura,Reims,Ligue 1,2024-2025,Midfielders,24,900000,0.1865750466781346,-0.1184288600432559,-0.3050039067213905
Bilal Nadir,Marseille,Ligue 1,2023-2024,Midfielders,19,130000,-1.4352450731719504,-0.0433303062943606,1.3919147668775895
Bilal Nadir,Marseille,Ligue 1,2024-2025,Midfielders,20,270000,-1.3485844605832291,0.0433303062943606,1.3919147668775895
Stanley N'Soki,Hoffenheim,Bundesliga,2023-2024,Midfielders,24,1200000,0.3855962979063054,0.2902880759708433,-0.0953082219354621
Nathan N'Goumou,Gladbach,Bundesliga,2023-2024,Midfielders,23,1040000,-0.3125295933678522,0.1099320693896742,0.4224616627575264
Nathan N'Goumou,Gladbach,Bundesliga,2024-2025,Midfielders,24,1040000,-0.5323937321472005,-0.1099320693896741,0.4224616627575264
Vitaliy Mykolenko,Everton,Premier League,2022-2023,Midfielders,23,3505712,0.328759947149285,0.2355972928738996,-0.0931626542753854
Phillipp Mwene,Mainz 05,Bundesliga,2023-2024,Midfielders,29,900000,-0.3588783746563866,0.1546874731719528,0.5135658478283395
Phillipp Mwene,Mainz 05,Bundesliga,2024-2025,Midfielders,30,900000,-0.5586617345392444,-0.0450958867109049,0.5135658478283395
Jamal Musiala,Bayern Munich,Bundesliga,2022-2023,Midfielders,19,5000000,0.055631736310266,0.2882453922294558,0.2326136559191898
Jamal Musiala,Bayern Munich,Bundesliga,2023-2024,Midfielders,20,5000000,-0.1796954248879014,0.0529182310312884,0.2326136559191898
Jamal Musiala,Bayern Munich,Bundesliga,2024-2025,Midfielders,21,5000000,-0.573777279179934,-0.3411636232607442,0.2326136559191898
Yunus Musah,Valencia,La Liga,2022-2023,Midfielders,19,1500000,1.053737006354524,0.4086008957295934,-0.6451361106249305
Yunus Musah,Milan,Serie A,2023-2024,Midfielders,20,2560000,0.547352372668195,-0.0977837379567354,-0.6451361106249305
Yunus Musah,Milan,Serie A,2024-2025,Midfielders,21,2560000,0.3343189528520724,-0.310817157772858,-0.6451361106249305
Javier Muñoz,Las Palmas,La Liga,2023-2024,Midfielders,28,720000,-0.2761486693575907,-0.0265156090151658,0.2496330603424248
Javier Muñoz,Las Palmas,La Liga,2024-2025,Midfielders,29,720000,-0.3725978902178291,-0.1229648298754042,0.2496330603424248
Iker Muñoz,Osasuna,La Liga,2023-2024,Midfielders,20,180000,-0.4545589558468439,-0.6621542786459722,-0.2075953227991283
Iker Muñoz,Osasuna,La Liga,2024-2025,Midfielders,21,720000,0.8697496014451005,0.6621542786459722,-0.2075953227991283
Iker Muniain,Athletic Club,La Liga,2022-2023,Midfielders,29,2200000,-0.0707354007944189,0.0304537694383695,0.1011891702327884
Iker Muniain,Athletic Club,La Liga,2023-2024,Midfielders,30,2200000,-0.131642939671158,-0.0304537694383695,0.1011891702327884
Marshall Munetsi,Reims,Ligue 1,2022-2023,Midfielders,26,720000,0.0062070781530305,0.0598852090115595,0.053678130858529
Marshall Munetsi,Reims,Ligue 1,2023-2024,Midfielders,27,720000,-0.1135633398700886,-0.0598852090115595,0.053678130858529
Thomas Müller,Bayern Munich,Bundesliga,2022-2023,Midfielders,32,20500000,0.0509106384720681,-0.0036461501769349,-0.054556788649003
Thomas Müller,Bayern Munich,Bundesliga,2023-2024,Midfielders,33,20500000,0.0071026043962376,-0.0474541842527654,-0.054556788649003
Thomas Müller,Bayern Munich,Bundesliga,2024-2025,Midfielders,34,20500000,0.1056571230787035,0.0511003344297004,-0.054556788649003
Nordi Mukiele,Paris Saint-Germain,Ligue 1,2022-2023,Midfielders,24,8400000,0.5679403534396688,0.0745239754438487,-0.49341637799582
Mykhailo Mudryk,Chelsea,Premier League,2023-2024,Midfielders,22,6155169,-0.0713173432342344,-0.175479236023022,-0.1041618927887876
Mykhailo Mudryk,Chelsea,Premier League,2024-2025,Midfielders,23,6160685,0.049162534142269,-0.0549993586465186,-0.1041618927887876
Samuel Moutoussamy,Nantes,Ligue 1,2022-2023,Midfielders,25,210000,-1.3478943516361568,0.0341228351600717,1.3820171867962283
Samuel Moutoussamy,Nantes,Ligue 1,2023-2024,Midfielders,26,210000,-1.4161400219563005,-0.0341228351600719,1.3820171867962283
Mason Mount,Chelsea,Premier League,2022-2023,Midfielders,23,4835464,-0.287808543084763,-0.8800054565262119,-0.5921969134414489
Mason Mount,Manchester Utd,Premier League,2023-2024,Midfielders,24,15387922,1.2606848822461585,0.6684879688047096,-0.5921969134414489
Mason Mount,Manchester Utd,Premier League,2024-2025,Midfielders,25,15401712,0.8037144011629511,0.2115174877215022,-0.5921969134414489
Steve Mounié,Augsburg,Bundesliga,2024-2025,Midfielders,29,2640000,0.6963168363211665,0.5086787360578988,-0.1876381002632676
Dany Mota,Monza,Serie A,2023-2024,Midfielders,25,1110000,0.1978683380140129,0.5986108529621088,0.4007425149480959
Dany Mota,Monza,Serie A,2024-2025,Midfielders,26,1110000,0.0192916409293033,0.4200341558773992,0.4007425149480959
Nikola Moro,Bologna,Serie A,2022-2023,Midfielders,24,1240000,0.2694733876290076,0.1369938779186536,-0.1324795097103539
Nikola Moro,Bologna,Serie A,2023-2024,Midfielders,25,1240000,0.1781682741692254,0.0456887644588714,-0.1324795097103539
Nikola Moro,Bologna,Serie A,2024-2025,Midfielders,26,1240000,-0.0502031326671712,-0.1826826423775251,-0.1324795097103539
Manu Morlanes,Mallorca,La Liga,2023-2024,Midfielders,24,1310000,0.8607045737270322,0.0270187019912224,-0.8336858717358098
Manu Morlanes,Mallorca,La Liga,2024-2025,Midfielders,25,1310000,0.8066671697445873,-0.0270187019912224,-0.8336858717358098
Ilaix Moriba,Valencia,La Liga,2022-2023,Midfielders,19,1620000,1.2200181713045026,0.1888828645974953,-1.0311353067070073
Ilaix Moriba,Celta Vigo,La Liga,2024-2025,Midfielders,21,1620000,0.8422524421095119,-0.1888828645974953,-1.0311353067070073
Tete Morente,Elche,La Liga,2022-2023,Midfielders,25,290000,-0.2729300234184695,-0.1068523685664742,0.1660776548519953
Tete Morente,Lecce,Serie A,2024-2025,Midfielders,27,740000,-0.0592252862855211,0.1068523685664742,0.1660776548519953
Diego Moreira,Strasbourg,Ligue 1,2024-2025,Midfielders,19,720000,0.575001341154973,-0.1741022447956925,-0.7491035859506656
Kieffer Moore,Bournemouth,Premier League,2023-2024,Midfielders,30,923275,-1.3595833589984512,-0.371732935088494,0.9878504239099573
Jon Moncayola,Osasuna,La Liga,2022-2023,Midfielders,24,500000,-0.0417481109332271,-0.2526996515198342,-0.2109515405866071
Jon Moncayola,Osasuna,La Liga,2023-2024,Midfielders,25,1000000,0.4879529926681876,0.2770014520815804,-0.2109515405866071
Jon Moncayola,Osasuna,La Liga,2024-2025,Midfielders,26,1000000,0.321010786236652,0.1100592456500448,-0.2109515405866071
Florent Mollet,Nantes,Ligue 1,2023-2024,Midfielders,31,1640000,-0.0789871522093257,-0.1705179424197185,-0.0915307902103928
Florent Mollet,Nantes,Ligue 1,2024-2025,Midfielders,32,1640000,0.2620487326301113,0.1705179424197185,-0.0915307902103927
Nahuel Molina,Atlético Madrid,La Liga,2023-2024,Midfielders,25,1200000,-1.0083130982782116,-0.0844078777630583,0.9239052205151532
Alberto Moleiro,Las Palmas,La Liga,2023-2024,Midfielders,19,190000,-0.1990021932963639,-0.3620965638266344,-0.1630943705302705
Alberto Moleiro,Las Palmas,La Liga,2024-2025,Midfielders,20,620000,0.525190934356905,0.3620965638266344,-0.1630943705302705
Johan Mojica,Elche,La Liga,2022-2023,Midfielders,29,1100000,1.0443382599243645,0.6781472816945557,-0.3661909782298087
Johan Mojica,Osasuna,La Liga,2023-2024,Midfielders,30,1100000,0.1225852614011238,-0.2436057168286849,-0.3661909782298087
Tobias Mohr,Schalke 04,Bundesliga,2022-2023,Midfielders,26,750000,-0.5491464718547636,-0.1295582971199946,0.4195881747347689
Luka Modrić,Real Madrid,La Liga,2022-2023,Midfielders,36,21880000,0.230552981411936,0.292497827921918,0.061944846509982
Luka Modrić,Real Madrid,La Liga,2023-2024,Midfielders,37,21880000,0.1213255875090126,0.1832704340189946,0.061944846509982
Luka Modrić,Real Madrid,La Liga,2024-2025,Midfielders,38,10420000,-0.5377131084508946,-0.4757682619409126,0.061944846509982
Jakub Moder,Brighton,Premier League,2023-2024,Midfielders,24,615517,-1.169769467743059,-0.0307235254106972,1.1390459423323618
Henrikh Mkhitaryan,Inter,Serie A,2022-2023,Midfielders,33,4870000,-0.1451044120661713,0.1324617157946737,0.277566127860845
Henrikh Mkhitaryan,Inter,Serie A,2023-2024,Midfielders,34,4870000,-0.3907769195182311,-0.113210791657386,0.277566127860845
Henrikh Mkhitaryan,Inter,Serie A,2024-2025,Midfielders,35,4870000,-0.2968170519981328,-0.0192509241372877,0.277566127860845
Maximilian Mittelstädt,Hertha BSC,Bundesliga,2022-2023,Midfielders,25,990000,0.1766307913147127,0.0008404304746404,-0.1757903608400722
Maximilian Mittelstädt,Stuttgart,Bundesliga,2023-2024,Midfielders,26,1000000,-0.0137971198018647,-0.1895874806419369,-0.1757903608400722
Maximilian Mittelstädt,Stuttgart,Bundesliga,2024-2025,Midfielders,27,1890000,0.3784158649551354,0.2026255041150631,-0.1757903608400722
Stefan Mitrović,Hellas Verona,Serie A,2023-2024,Midfielders,20,250000,0.0365784660289527,0.7816827563692184,0.7451042903402657
Kaoru Mitoma,Brighton,Premier League,2022-2023,Midfielders,25,604433,-1.621861420673481,-1.1928221320134256,0.4290392886600553
