quantile,variable,coef,model
0.9,On_Off,0.023929,Forwards
0.9,Club_Wage_Rank_Pct,2.232821,Forwards
0.1,Intercept,4.795279,Goalkeepers
0.1,Age,0.373856,Goalkeepers
0.1,Age2,-0.005033,Goalkeepers
0.1,Min_pct,0.011215,Goalkeepers
0.1,Save_pct,0.004596,Goalkeepers
0.1,CS_p90,0.542922,Goalkeepers
0.1,GA_p90,0.159744,Goalkeepers
0.1,SoTA_p90,-0.140893,Goalkeepers
0.1,Save_pct_PK,-0.003695,Goalkeepers
0.1,SavePct_PK_zero,-0.08385,Goalkeepers
0.1,W_pct,0.047562,Goalkeepers
0.1,D_pct,0.074266,Goalkeepers
0.1,Club_Wage_Rank_Pct,1.603188,Goalkeepers
0.25,Intercept,6.994307,Goalkeepers
0.25,Age,0.304708,Goalkeepers
0.25,Age2,-0.003942,Goalkeepers
0.25,Min_pct,0.009097,Goalkeepers
0.25,Save_pct,0.001599,Goalkeepers
0.25,CS_p90,0.230274,Goalkeepers
0.25,GA_p90,0.036952,Goalkeepers
0.25,SoTA_p90,-0.097872,Goalkeepers
0.25,Save_pct_PK,-0.004458,Goalkeepers
0.25,SavePct_PK_zero,-0.145022,Goalkeepers
0.25,W_pct,0.12984,Goalkeepers
0.25,D_pct,-0.089075,Goalkeepers
0.25,Club_Wage_Rank_Pct,1.457542,Goalkeepers
0.5,Intercept,7.412691,Goalkeepers
0.5,Age,0.34086,Goalkeepers
0.5,Age2,-0.004809,Goalkeepers
0.5,Min_pct,0.008212,Goalkeepers
0.5,Save_pct,-0.003104,Goalkeepers
0.5,CS_p90,-0.28441,Goalkeepers
0.5,GA_p90,-0.200507,Goalkeepers
0.5,SoTA_p90,-0.001083,Goalkeepers
0.5,Save_pct_PK,-0.003371,Goalkeepers
0.5,SavePct_PK_zero,-0.26101,Goalkeepers
0.5,W_pct,0.282807,Goalkeepers
0.5,D_pct,0.004638,Goalkeepers
0.5,Club_Wage_Rank_Pct,1.599018,Goalkeepers
0.75,Intercept,6.641347,Goalkeepers
0.75,Age,0.372744,Goalkeepers
0.75,Age2,-0.005424,Goalkeepers
0.75,Min_pct,0.009807,Goalkeepers
0.75,Save_pct,0.002342,Goalkeepers
0.75,CS_p90,-0.123708,Goalkeepers
0.75,GA_p90,0.097214,Goalkeepers
0.75,SoTA_p90,-0.064091,Goalkeepers
0.75,Save_pct_PK,-0.002598,Goalkeepers
0.75,SavePct_PK_zero,-0.028053,Goalkeepers
0.75,W_pct,0.342247,Goalkeepers
0.75,D_pct,-0.063982,Goalkeepers
0.75,Club_Wage_Rank_Pct,1.81913,Goalkeepers
0.9,Intercept,7.093685,Goalkeepers
0.9,Age,0.332796,Goalkeepers
0.9,Age2,-0.004692,Goalkeepers
0.9,Min_pct,0.007222,Goalkeepers
0.9,Save_pct,0.015121,Goalkeepers
0.9,CS_p90,-0.1495,Goalkeepers
0.9,GA_p90,0.269011,Goalkeepers
0.9,SoTA_p90,-0.143485,Goalkeepers
0.9,Save_pct_PK,-0.00418,Goalkeepers
0.9,SavePct_PK_zero,-0.408572,Goalkeepers
0.9,W_pct,0.31267,Goalkeepers
0.9,D_pct,-0.151607,Goalkeepers
0.9,Club_Wage_Rank_Pct,1.873211,Goalkeepers
