Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
RB Leipzig,Christoph Baumgartner,AUT,"FW,MF",23.0,"€ 48,077 (£ 40,617, $51,666)","€ 2,500,000 (£ 2,112,073, $2,686,612)",Unverified estimation
Darmstadt 98,Christoph Klarer,AUT,DF,23.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Gladbach,Christoph Kramer,GER,MF,32.0,"€ 67,308 (£ 56,864, $72,332)","€ 3,500,000 (£ 2,956,902, $3,761,256)",Unverified estimation
Darmstadt 98,Christoph Zimmermann,GER,DF,30.0,"€ 15,000 (£ 12,672, $16,120)","€ 780,000 (£ 658,967, $838,223)",Unverified estimation
Metz,Christophe Hérelle,MTQ,DF,30.0,"€ 13,462 (£ 11,373, $14,466)","€ 700,000 (£ 591,380, $752,251)",Unverified estimation
Bochum,Christopher Antwi-Adjei,GHA,"FW,MF",29.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Montpellier,Christopher Jullien,FRA,DF,30.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
RB Leipzig,Christopher Lenz,GER,DF,28.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Chelsea,Christopher Nkunku,FRA,"MF,FW",25.0,"£ 195,000 (€ 230,819, $248,048)","£ 10,140,000 (€ 12,002,579, $12,898,470)",Unverified estimation
Le Havre,Christopher Operi,CIV,"DF,MF",26.0,"€ 10,385 (£ 8,773, $11,160)","€ 540,000 (£ 456,208, $580,308)",Unverified estimation
Union Berlin,Christopher Trimmel,AUT,MF,36.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Rennes,Christopher Wooh,CMR,DF,21.0,"€ 4,615 (£ 3,899, $4,960)","€ 240,000 (£ 202,759, $257,915)",Unverified estimation
Lazio,Christos Mandas,GRE,GK,21.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",Unverified estimation
Salernitana,Chukwubuikem Ikwuemesi,NGA,FW,21.0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",Unverified estimation
Almería,Chumi,ESP,DF,24.0,"€ 6,346 (£ 5,361, $6,820)","€ 330,000 (£ 278,794, $354,633)",Unverified estimation
Lazio,Ciro Immobile,ITA,FW,33.0,"€ 142,500 (£ 120,388, $153,137)","€ 7,410,000 (£ 6,260,183, $7,963,117)",
Real Betis,Claudio Bravo,CHI,GK,40.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Darmstadt 98,Clemens Riedel,GER,"DF,MF",20.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Lyon,Clinton Mata,ANG,"DF,MF",30.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Barcelona,Clément Lenglet,FRA,CB,28.0,"€ 57,692 (£ 48,740, $61,999)","€ 3,000,000 (£ 2,534,487, $3,223,934)",
Liverpool,Cody Gakpo,NED,"FW,MF",24.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Chelsea,Cole Palmer,ENG,"MF,FW",21.0,"£ 75,000 (€ 88,776, $95,403)","£ 3,900,000 (€ 4,616,377, $4,960,950)",Unverified estimation
Burnley,Connor Roberts,WAL,DF,27.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",Unverified estimation
West Ham United,Conor Coventry,IRL,MF,23.0,"£ 5,000 (€ 5,918, $6,360)","£ 260,000 (€ 307,758, $330,730)",Unverified estimation
Chelsea,Conor Gallagher,ENG,MF,23.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Mallorca,Copete,ESP,DF,23.0,"€ 4,038 (£ 3,412, $4,340)","€ 210,000 (£ 177,414, $225,675)",Unverified estimation
Lyon,Corentin Tolisso,FRA,MF,28.0,"€ 92,308 (£ 77,984, $99,198)","€ 4,800,000 (£ 4,055,180, $5,158,295)",
Wolves,Craig Dawson,ENG,DF,33.0,"£ 45,000 (€ 53,266, $57,242)","£ 2,340,000 (€ 2,769,826, $2,976,570)",Unverified estimation
Valencia,Cristhian Mosquera,ESP,DF,19.0,"€ 3,077 (£ 2,599, $3,307)","€ 160,000 (£ 135,173, $171,943)",Unverified estimation
Girona,Cristhian Stuani,URU,FW,36.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Valencia,Cristian,ESP,GK,25.0,"€ 27,885 (£ 23,558, $29,966)","€ 1,450,000 (£ 1,225,002, $1,558,235)",Unverified estimation
Toulouse,Cristian Cásseres Jr.,VEN,MF,23.0,"€ 8,654 (£ 7,311, $9,300)","€ 450,000 (£ 380,173, $483,590)",Unverified estimation
Bochum,Cristian Gamboa,CRC,"DF,MF",33.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Las Palmas,Cristian Herrera,ESP,MF,32.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Tottenham Hotspur,Cristian Romero,ARG,DF,25.0,"£ 165,000 (€ 195,308, $209,886)","£ 8,580,000 (€ 10,156,028, $10,914,090)",
Sassuolo,Cristian Volpato,ITA,"MF,FW",19.0,"€ 25,000 (£ 21,121, $26,866)","€ 1,300,000 (£ 1,098,278, $1,397,038)",Unverified estimation
Fiorentina,Cristiano Biraghi,ITA,DF,30.0,"€ 60,577 (£ 51,177, $65,099)","€ 3,150,000 (£ 2,661,212, $3,385,131)",Unverified estimation
Lazio,Cristiano Lombardi,ITA,RW,28.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",
Liverpool,Curtis Jones,ENG,MF,22.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Mallorca,Cyle Larin,CAN,FW,28.0,"€ 16,154 (£ 13,647, $17,360)","€ 840,000 (£ 709,656, $902,702)",Unverified estimation
Hellas Verona,Cyril Ngonge,BEL,"MF,FW",23.0,"€ 14,808 (£ 12,510, $15,913)","€ 770,000 (£ 650,518, $827,476)",Unverified estimation
Arsenal,Cédric Soares,POR,DF,31.0,"£ 75,000 (€ 88,776, $95,403)","£ 3,900,000 (€ 4,616,377, $4,960,950)",
Atlético Madrid,César Azpilicueta,ESP,"DF,MF",33.0,"€ 153,846 (£ 129,974, $165,330)","€ 8,000,000 (£ 6,758,633, $8,597,158)",Unverified estimation
Almería,César Montes,MEX,DF,26.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Lazio,Daichi Kamada,JPN,MF,26.0,"€ 74,038 (£ 62,550, $79,565)","€ 3,850,000 (£ 3,252,592, $4,137,382)",
Le Havre,Daler Kuzyaev,RUS,MF,30.0,"€ 34,615 (£ 29,244, $37,199)","€ 1,800,000 (£ 1,520,692, $1,934,360)",Unverified estimation
Girona,Daley Blind,NED,DF,33.0,"€ 34,231 (£ 28,919, $36,786)","€ 1,780,000 (£ 1,503,796, $1,912,868)",Unverified estimation
Las Palmas,Daley Sinkgraven,NED,DF,28.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Köln,Damion Downs,USA,FW,19.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Getafe,Damián Suárez,URU,DF,35.0,"€ 11,923 (£ 10,073, $12,813)","€ 620,000 (£ 523,794, $666,280)",Unverified estimation
Newcastle United,Dan Burn,ENG,DF,31.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",Unverified estimation
Bologna,Dan Ndoye,SUI,"MF,FW",22.0,"€ 19,808 (£ 16,734, $21,286)","€ 1,030,000 (£ 870,174, $1,106,884)",
Luton Town,Dan Potts,ENG,DF,29.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Stuttgart,Dan-Axel Zagadou,FRA,DF,24.0,"€ 54,423 (£ 45,978, $58,485)","€ 2,830,000 (£ 2,390,866, $3,041,245)",Unverified estimation
Bournemouth,Dango Ouattara,BFA,"DF,MF",21.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",Unverified estimation
Real Madrid,Dani Carvajal,ESP,DF,31.0,"€ 200,385 (£ 169,291, $215,342)","€ 10,420,000 (£ 8,803,119, $11,197,798)",
Real Madrid,Dani Ceballos,ESP,MF,26.0,"€ 200,385 (£ 169,291, $215,342)","€ 10,420,000 (£ 8,803,119, $11,197,798)",Unverified estimation
Rayo Vallecano,Dani Cárdenas,ESP,GK,26.0,"€ 8,654 (£ 7,311, $9,300)","€ 450,000 (£ 380,173, $483,590)",Unverified estimation
Athletic Club,Dani García,ESP,MF,33.0,"€ 53,269 (£ 45,003, $57,246)","€ 2,770,000 (£ 2,340,177, $2,976,766)",Unverified estimation
RB Leipzig,Dani Olmo,ESP,MF,25.0,"€ 181,346 (£ 153,207, $194,883)","€ 9,430,000 (£ 7,966,738, $10,133,900)",
Mallorca,Dani Rodríguez,ESP,MF,35.0,"€ 8,462 (£ 7,149, $9,093)","€ 440,000 (£ 371,725, $472,844)",Unverified estimation
Mainz 05,Daniel Batz,GER,GK,32.0,"€ 4,231 (£ 3,574, $4,547)","€ 220,000 (£ 185,862, $236,422)",Unverified estimation
Wolves,Daniel Bentley,ENG,GK,30.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Sassuolo,Daniel Boloca,ROU,MF,24.0,"€ 21,346 (£ 18,034, $22,940)","€ 1,110,000 (£ 937,760, $1,192,856)",Unverified estimation
Getafe,Daniel Fuzato,BRA,GK,26.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Sheffield United,Daniel Jebbison,CAN,FW,19.0,"£ 4,000 (€ 4,735, $5,088)","£ 208,000 (€ 246,207, $264,584)",Unverified estimation
Freiburg,Daniel Kyereh,GHA,AM,27.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Frosinone,Daniel Macej,,DF,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Empoli,Daniel Maldini,ITA,"FW,MF",21.0,"€ 10,769 (£ 9,098, $11,573)","€ 560,000 (£ 473,104, $601,801)",
Villarreal,Daniel Parejo,ESP,MF,34.0,"€ 73,077 (£ 61,738, $78,532)","€ 3,800,000 (£ 3,210,351, $4,083,650)",
Bayern Munich,Daniel Peretz,ISR,GK,23.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",
Wolves,Daniel Podence,POR,LW,27.0,"£ 60,000 (€ 71,021, $76,322)","£ 3,120,000 (€ 3,693,101, $3,968,760)",
Lecce,Daniel Samek,CZE,DF,19.0,"€ 3,654 (£ 3,123, $3,976)","€ 190,000 (£ 162,378, $206,761)",Unverified estimation
Athletic Club,Daniel Vivian,ESP,DF,24.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Udinese,Daniele Padelli,ITA,GK,37.0,"€ 7,115 (£ 6,011, $7,647)","€ 370,000 (£ 312,587, $397,619)",Unverified estimation
Juventus,Daniele Rugani,ITA,DF,29.0,"€ 124,615 (£ 105,279, $133,917)","€ 6,480,000 (£ 5,474,492, $6,963,698)",
Genoa,Daniele Sommariva,ITA,GK,26.0,"€ 5,000 (£ 4,224, $5,373)","€ 260,000 (£ 219,656, $279,408)",Unverified estimation
Union Berlin,Danilho Doekhi,NED,DF,25.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Juventus,Danilo,BRA,DF,32.0,"€ 98,654 (£ 83,346, $106,018)","€ 5,130,000 (£ 4,333,973, $5,512,927)",
Lazio,Danilo Cataldi,ITA,MF,28.0,"€ 64,038 (£ 54,102, $68,819)","€ 3,330,000 (£ 2,813,281, $3,578,567)",
Monza,Danilo D'Ambrosio,ITA,DF,34.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Paris Saint-Germain,Danilo Pereira,POR,DF,31.0,"€ 61,538 (£ 51,989, $66,132)","€ 3,200,000 (£ 2,703,453, $3,438,863)",Unverified estimation
Bochum,Danilo Soares,BRA,MF,31.0,"€ 8,269 (£ 6,986, $8,886)","€ 430,000 (£ 363,277, $462,097)",Unverified estimation
Metz,Danley Jean Jacques,,DM,23.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
West Ham United,Danny Ings,ENG,"FW,MF",31.0,"£ 125,000 (€ 147,961, $159,005)","£ 6,500,000 (€ 7,693,961, $8,268,250)",
Brighton,Danny Welbeck,ENG,"FW,MF",32.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",
Mainz 05,Danny da Costa,GER,"MF,DF",30.0,"€ 18,462 (£ 15,597, $19,840)","€ 960,000 (£ 811,036, $1,031,659)",Unverified estimation
Nice,Dante,BRA,DF,39.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",
Monza,Dany Mota,POR,"MF,FW",25.0,"€ 21,346 (£ 18,034, $22,940)","€ 1,110,000 (£ 937,760, $1,192,856)",Unverified estimation
Nice,Daouda Traoré,FRA,MF,17.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Burnley,Dara O'Shea,IRL,DF,24.0,"£ 20,000 (€ 23,674, $25,441)","£ 1,040,000 (€ 1,231,034, $1,322,920)",Unverified estimation
Eintracht Frankfurt,Dario Gebuhr,GER,CB,20.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Osasuna,Darko Brašanac,SRB,MF,31.0,"€ 11,923 (£ 10,073, $12,813)","€ 620,000 (£ 523,794, $666,280)",Unverified estimation
Burnley,Darko Churlinov,MKD,LW,23.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Hellas Verona,Darko Lazović,SRB,MF,32.0,"€ 21,346 (£ 18,034, $22,940)","€ 1,110,000 (£ 937,760, $1,192,856)",
Lorient,Darlin Yongwa,CMR,"MF,DF",22.0,"€ 4,038 (£ 3,412, $4,340)","€ 210,000 (£ 177,414, $225,675)",Unverified estimation
Bournemouth,Darren Randolph,IRL,GK,36.0,"£ 25,000 (€ 29,592, $31,801)","£ 1,300,000 (€ 1,538,792, $1,653,650)",Unverified estimation
Cádiz,Darwin Machís,VEN,MF,30.0,"€ 27,885 (£ 23,558, $29,966)","€ 1,450,000 (£ 1,225,002, $1,558,235)",Unverified estimation
Liverpool,Darwin Núñez,URU,FW,24.0,"£ 140,000 (€ 165,716, $178,085)","£ 7,280,000 (€ 8,617,236, $9,260,440)",
Real Madrid,David Alaba,AUT,DF,31.0,"€ 432,692 (£ 365,551, $464,991)","€ 22,500,000 (£ 19,008,654, $24,179,506)",
Bournemouth,David Brooks,WAL,MF,26.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",
Lens,David Costa,POR,FW,22.0,"€ 13,846 (£ 11,698, $14,880)","€ 720,000 (£ 608,277, $773,744)",Unverified estimation
Union Berlin,David Datro Fofana,CIV,FW,20.0,"€ 35,192 (£ 29,731, $37,819)","€ 1,830,000 (£ 1,546,037, $1,966,600)",Unverified estimation
Osasuna,David García,ESP,DF,29.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Cádiz,David Gil,ESP,GK,29.0,"€ 6,346 (£ 5,361, $6,820)","€ 330,000 (£ 278,794, $354,633)",Unverified estimation
Girona,David López,ESP,DF,33.0,"€ 72,115 (£ 60,925, $77,498)","€ 3,750,000 (£ 3,168,109, $4,029,918)",Unverified estimation
Udinese,David Pejičić,SVN,MF,16.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",Unverified estimation
RB Leipzig,David Raum,GER,DF,25.0,"€ 145,192 (£ 122,663, $156,030)","€ 7,550,000 (£ 6,378,460, $8,113,567)",
Arsenal,David Raya,ESP,GK,27.0,"£ 85,000 (€ 100,613, $108,123)","£ 4,420,000 (€ 5,231,893, $5,622,410)",Unverified estimation
Getafe,David Soria,ESP,GK,30.0,"€ 29,038 (£ 24,533, $31,206)","€ 1,510,000 (£ 1,275,692, $1,622,713)",Unverified estimation
Torino,David Zima,CZE,DF,22.0,"€ 12,308 (£ 10,398, $13,226)","€ 640,000 (£ 540,691, $687,773)",
Augsburg,David Čolina,CRO,"DF,MF",23.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",Unverified estimation
Monza,Davide Bettella,ITA,DF,23.0,"€ 6,731 (£ 5,686, $7,233)","€ 350,000 (£ 295,690, $376,126)",Unverified estimation
Milan,Davide Calabria,ITA,DF,26.0,"€ 71,154 (£ 60,113, $76,465)","€ 3,700,000 (£ 3,125,868, $3,976,185)",
Hellas Verona,Davide Faraoni,ITA,MF,31.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",
Inter,Davide Frattesi,ITA,MF,23.0,"€ 99,808 (£ 84,320, $107,258)","€ 5,190,000 (£ 4,384,663, $5,577,406)",
Atalanta,Davide Zappacosta,ITA,MF,31.0,"€ 32,115 (£ 27,132, $34,513)","€ 1,670,000 (£ 1,410,865, $1,794,657)",
Köln,Davie Selke,GER,FW,28.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Eintracht Frankfurt,Davis Bautista,ECU,CB,18.0,"€ 3,077 (£ 2,599, $3,307)","€ 160,000 (£ 135,173, $171,943)",Unverified estimation
Inter,Davy Klaassen,NED,MF,30.0,"€ 36,923 (£ 31,194, $39,679)","€ 1,920,000 (£ 1,622,072, $2,063,318)",
Werder Bremen,Dawid Kownacki,POL,FW,26.0,"€ 30,769 (£ 25,995, $33,066)","€ 1,600,000 (£ 1,351,727, $1,719,432)",Unverified estimation
Bayern Munich,Dayot Upamecano,FRA,DF,24.0,"€ 192,308 (£ 162,467, $206,662)","€ 10,000,000 (£ 8,448,291, $10,746,447)",
Crystal Palace,Dean Henderson,ENG,GK,26.0,"£ 100,000 (€ 118,369, $127,204)","£ 5,200,000 (€ 6,155,169, $6,614,600)",Unverified estimation
Arsenal,Declan Rice,ENG,MF,24.0,"£ 240,000 (€ 284,085, $305,289)","£ 12,480,000 (€ 14,772,405, $15,875,040)",
Lens,Deiver Machado,COL,MF,29.0,"€ 10,385 (£ 8,773, $11,160)","€ 540,000 (£ 456,208, $580,308)",Unverified estimation
Chelsea,Deivid Washington,BRA,FW,18.0,"£ 40,000 (€ 47,347, $50,882)","£ 2,080,000 (€ 2,462,068, $2,645,840)",Unverified estimation
Tottenham Hotspur,Dejan Kulusevski,SWE,"MF,FW",23.0,"£ 110,000 (€ 130,206, $139,924)","£ 5,720,000 (€ 6,770,686, $7,276,060)",
Köln,Dejan Ljubicic,AUT,MF,25.0,"€ 16,154 (£ 13,647, $17,360)","€ 840,000 (£ 709,656, $902,702)",Unverified estimation
Lyon,Dejan Lovren,CRO,DF,34.0,"€ 92,308 (£ 77,984, $99,198)","€ 4,800,000 (£ 4,055,180, $5,158,295)",
Everton,Dele Alli,ENG,AM,27.0,"£ 100,000 (€ 118,369, $127,204)","£ 5,200,000 (€ 6,155,169, $6,614,600)",
Torino,Demba Seck,SEN,MF,22.0,"€ 14,231 (£ 12,023, $15,293)","€ 740,000 (£ 625,174, $795,237)",Unverified estimation
Lorient,Dembo Sylla,GUI,MF,20.0,"€ 7,115 (£ 6,011, $7,647)","€ 370,000 (£ 312,587, $397,619)",Unverified estimation
Burnley,Denis Franchi,ITA,GK,20.0,"£ 3,000 (€ 3,551, $3,816)","£ 156,000 (€ 184,655, $198,438)",Unverified estimation
Toulouse,Denis Genreau,AUS,MF,24.0,"€ 3,462 (£ 2,924, $3,720)","€ 180,000 (£ 152,069, $193,436)",Unverified estimation
Köln,Denis Huseinbasic,BIH,MF,22.0,"€ 4,615 (£ 3,899, $4,960)","€ 240,000 (£ 202,759, $257,915)",Unverified estimation
Nantes,Denis Petrić,SRB,GK,35.0,"€ 4,615 (£ 3,899, $4,960)","€ 240,000 (£ 202,759, $257,915)",Unverified estimation
Villarreal,Denis Suárez,ESP,MF,29.0,"€ 60,192 (£ 50,852, $64,685)","€ 3,130,000 (£ 2,644,315, $3,363,638)",Unverified estimation
Heidenheim,Denis Thomalla,GER,MF,30.0,"€ 13,846 (£ 11,698, $14,880)","€ 720,000 (£ 608,277, $773,744)",Unverified estimation
Monaco,Denis Zakaria,SUI,"MF,DF",26.0,"€ 75,000 (£ 63,362, $80,598)","€ 3,900,000 (£ 3,294,833, $4,191,114)",Unverified estimation
Stuttgart,Deniz Undav,GER,"FW,MF",27.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Hoffenheim,Dennis Geiger,GER,MF,25.0,"€ 41,538 (£ 35,093, $44,639)","€ 2,160,000 (£ 1,824,831, $2,321,233)",Unverified estimation
Stuttgart,Dennis Seimen,GER,GK,17.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Inter,Denzel Dumfries,NED,MF,27.0,"€ 61,731 (£ 52,152, $66,339)","€ 3,210,000 (£ 2,711,901, $3,449,609)",
Tottenham Hotspur,Destiny Udogie,ITA,DF,20.0,"£ 75,000 (€ 88,776, $95,403)","£ 3,900,000 (€ 4,616,377, $4,960,950)",
Hoffenheim,Diadie Samassékou,MLI,MF,27.0,"€ 75,000 (£ 63,362, $80,598)","€ 3,900,000 (£ 3,294,833, $4,191,114)",Unverified estimation
Aston Villa,Diego Carlos,BRA,DF,30.0,"£ 100,000 (€ 118,369, $127,204)","£ 5,200,000 (€ 6,155,169, $6,614,600)",
Hellas Verona,Diego Coppola,ITA,DF,19.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Napoli,Diego Demme,GER,MF,31.0,"€ 61,731 (£ 52,152, $66,339)","€ 3,210,000 (£ 2,711,901, $3,449,609)",
Lazio,Diego González,PAR,MF,20.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Roma,Diego Llorente,ESP,DF,29.0,"€ 66,538 (£ 56,214, $71,505)","€ 3,460,000 (£ 2,923,109, $3,718,271)",
Valencia,Diego López,ESP,"MF,FW",21.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Almería,Diego Mariño,ESP,GK,33.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",Unverified estimation
Lyon,Diego Moreira,BEL,MF,18.0,"€ 10,000 (£ 8,448, $10,746)","€ 520,000 (£ 439,311, $558,815)",Unverified estimation
Getafe,Diego Rico,ESP,DF,30.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Salernitana,Diego Valencia,CHI,CF,23.0,"€ 6,154 (£ 5,199, $6,613)","€ 320,000 (£ 270,345, $343,886)",Unverified estimation
Strasbourg,Dilane Bakwa,FRA,"MF,FW",20.0,"€ 13,462 (£ 11,373, $14,466)","€ 700,000 (£ 591,380, $752,251)",Unverified estimation
Valencia,Dimitri Foulquier,FRA,"DF,MF",30.0,"€ 35,962 (£ 30,381, $38,646)","€ 1,870,000 (£ 1,579,830, $2,009,586)",Unverified estimation
Lazio,Dimitrije Kamenović,SRB,DF,23.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",
Köln,Dimitris Limnios,GRE,"FW,MF",25.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Montpellier,Dimitry Bertaud,COD,GK,25.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Manchester Utd,Diogo Dalot,POR,DF,24.0,"£ 85,000 (€ 100,613, $108,123)","£ 4,420,000 (€ 5,231,893, $5,622,410)",Unverified estimation
Liverpool,Diogo Jota,POR,FW,26.0,"£ 140,000 (€ 165,716, $178,085)","£ 7,280,000 (€ 8,617,236, $9,260,440)",
Union Berlin,Diogo Leite,POR,DF,24.0,"€ 6,538 (£ 5,524, $7,027)","€ 340,000 (£ 287,242, $365,379)",Unverified estimation
Augsburg,Dion Beljo,,CF,21.0,"€ 14,615 (£ 12,348, $15,706)","€ 760,000 (£ 642,070, $816,730)",Unverified estimation
Almería,Dion Lopy,SEN,MF,21.0,"€ 9,231 (£ 7,798, $9,920)","€ 480,000 (£ 405,518, $515,829)",Unverified estimation
West Ham United,Divin Mubama,ENG,FW,18.0,"£ 4,000 (€ 4,735, $5,088)","£ 208,000 (€ 246,207, $264,584)",Unverified estimation
Nottingham Forest,Divock Origi,BEL,"MF,FW",28.0,"£ 120,000 (€ 142,042, $152,645)","£ 6,240,000 (€ 7,386,203, $7,937,520)",
Tottenham Hotspur,Djed Spence,ENG,RB,23.0,"£ 25,000 (€ 29,253, $31,833)","£ 1,300,000 (€ 1,521,142, $1,655,331)",Unverified estimation
Getafe,Djené,TOG,"DF,MF",31.0,"€ 42,308 (£ 35,743, $45,466)","€ 2,200,000 (£ 1,858,624, $2,364,218)",Unverified estimation
Sevilla,Djibril Sow,SUI,MF,26.0,"€ 80,192 (£ 67,749, $86,178)","€ 4,170,000 (£ 3,522,937, $4,481,268)",
Sevilla,Dodi Lukebakio,BEL,"MF,FW",25.0,"€ 57,692 (£ 48,740, $61,999)","€ 3,000,000 (£ 2,534,487, $3,223,934)",Unverified estimation
Fiorentina,Dodô,BRA,DF,24.0,"€ 36,923 (£ 31,194, $39,679)","€ 1,920,000 (£ 1,622,072, $2,063,318)",
Salernitana,Domagoj Bradarić,CRO,"MF,DF",23.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",Unverified estimation
Sassuolo,Domenico Berardi,ITA,"MF,FW",28.0,"€ 106,923 (£ 90,332, $114,904)","€ 5,560,000 (£ 4,697,250, $5,975,025)",
Valencia,Domingos André Ribeiro Almeida,POR,"FW,MF",23.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Getafe,Domingos Duarte,POR,DF,28.0,"€ 20,769 (£ 17,546, $22,320)","€ 1,080,000 (£ 912,415, $1,160,616)",Unverified estimation
Udinese,Domingos Quina,POR,MF,23.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",Unverified estimation
Everton,Dominic Calvert-Lewin,ENG,FW,26.0,"£ 100,000 (€ 118,369, $127,204)","£ 5,200,000 (€ 6,155,169, $6,614,600)",
