player,from_team,to_team,from_league,to_league,season,prev_eff,arrival_eff,cross_league,selling_value_captured
Wilson Odobert,Burnley,Tottenham Hotspur,Premier League,Premier League,2024-2025,0.0354893826673912,-0.278539567474386,False,0.31402895014177723
Wojciech Szczęsny,Juventus,Barcelona,Serie A,La Liga,2024-2025,0.7594000604039177,-0.4184145127271286,True,1.1778145731310463
Wout Weghorst,Manchester Utd,Hoffenheim,Premier League,Bundesliga,2023-2024,-1.7972663886553324,-0.2153362416093696,True,-1.5819301470459628
Yacine Adli,Milan,Fiorentina,Serie A,Serie A,2024-2025,-0.7404415822701527,-0.5497216098658022,False,-0.19071997240435046
Yan Couto,Girona,Dortmund,La Liga,Bundesliga,2024-2025,-0.1417822527172489,-0.5327054666418523,True,0.3909232139246034
Yannik Keitel,Freiburg,Stuttgart,Bundesliga,Bundesliga,2024-2025,-0.9377657275027538,0.1248517083679079,False,-1.0626174358706617
Yasser Larouci,Troyes,Sheffield United,Ligue 1,Premier League,2023-2024,-2.3993728268049725,0.0579690793228806,True,-2.457341906127853
Yerry Mina,Everton,Cagliari,Premier League,Serie A,2024-2025,0.7249306911073496,0.3831494092768501,True,0.34178128183049955
Yoann Salmier,Troyes,Le Havre,Ligue 1,Ligue 1,2023-2024,-0.0287594335110554,0.1521997359266649,False,-0.18095916943772028
Youri Tielemans,Leicester City,Aston Villa,Premier League,Premier League,2023-2024,-0.3220369859659282,0.4683509351809434,False,-0.7903879211468716
Youssouf Fofana,Monaco,Milan,Ligue 1,Serie A,2024-2025,-1.076269202515018,0.3015674653661797,True,-1.3778366678811977
Youssoufa Moukoko,Dortmund,Nice,Bundesliga,Ligue 1,2024-2025,1.1934853274280537,1.3108121032143227,True,-0.11732677578626904
Yunis Abdelhamid,Reims,Saint-Étienne,Ligue 1,Ligue 1,2024-2025,0.1844834939272068,0.6285203861451141,False,-0.44403689221790726
Yunus Musah,Valencia,Milan,La Liga,Serie A,2023-2024,1.053737006354524,0.547352372668195,True,0.5063846336863289
